image,text
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (1).jpg,"elevax golden elevator interior, marble floor with dark border, reflective golden walls with mirrors, decorative illuminated ceiling, wooden handrails"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (2).jpg,"elevax modern elevator interior, brushed metal walls, warm ceiling spotlights, stainless steel handrail, gray tiled floor, red patterned carpet"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (3).jpg,"elevax elegant elevator interior, cream leather walls, decorative panel with bamboo and bird design, wall lamp lighting, stainless steel handrail, striped black and white floor border, side control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (4).jpg,"elevax luxurious elevator interior, ornate carved wooden wall decoration, golden decorative ceiling light, warm ambient lighting, dark wooden side walls, patterned floor design"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (5).jpg,"elevax minimalist elevator interior, wooden wall cladding, illuminated abstract wave design on back wall, soft ceiling lighting, sleek handrails, stone floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (6).jpg,"elevax modern elevator interior, brown padded wall cladding, vertical strip lights, sleek metal handrails, glossy black marble floor, mirrored ceiling center"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (7).jpg,"elevax contemporary elevator interior, wooden center wall with metallic lower surface, glossy white side walls, stainless steel handrails, dark tiled floor, recessed ceiling spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (8).jpg,"elevax simple modern elevator interior, smooth metallic walls, stainless steel control panel, stainless steel handrail, bright ceiling spotlights, light stone floor with square border"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (9).jpg,"elevax colorful modern elevator interior, brushed metallic walls, horizontal stripes in yellow blue green and purple, stainless steel handrails, bright ceiling spotlights, gray carpet floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (10).jpg,"elevax classic elevator interior, dark wooden walls with patterned fabric inlays, wooden ceiling with recessed lights, stainless steel control panel with buttons"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (11).jpg,"elevax modern elevator interior, textured golden wall covering, black lower walls, side control panel, soft ambient lighting, square ceiling light"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (12).jpg,"elevax vintage luxury elevator interior, decorative wall paintings with portraits, ornate golden wall frames, stainless steel handrails, white marble floor with engraved letter R, classic ceiling light"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (13).jpg,"elevax contemporary elevator interior, dark metallic doors, textured brown side walls, wooden handrails with square pattern, control panels with digital display, bright ceiling lighting, light stone floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (14).jpg,"elevax classic elevator interior, polished wooden walls with decorative tile artwork, ornate crown molding, dark wooden handrail, checkered marble floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (15).jpg,"elevax modern elevator interior, light beige fabric wall panels, golden metal handrails, recessed ceiling lighting, patterned carpet floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (16).jpg,"elevax modern elevator interior, dark bronze metallic walls, illuminated control panel, wooden handrail, spotlight ceiling lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (17).jpg,"elevax classic elevator interior, rich wooden walls with decorative molding, wooden floor, recessed ceiling lights, side control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (18).jpg,"elevax classic residential elevator interior, natural wooden walls and floor, simple wooden handrail, recessed ceiling spotlights, side control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (19).jpg,"elevax modern elevator interior, polished marble walls and floor, warm LED strip lighting, sleek metal handrails, recessed ceiling spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (20).jpg,"elevax modern elevator interior, wooden veneer walls with metal lower panels, brushed metal handrails, dark dotted rubber flooring, recessed ceiling lights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (21).jpg,"elevax classic elevator interior, polished wooden walls with decorative molding, coffered wooden ceiling with central light, geometric trim design, dark stone floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (22).jpg,"elevax modern elevator interior, fluted white marble wall panel, dark wood accents, brass handrails, patterned marble floor, indirect ceiling lighting"
